frame,tempo,atividade/emocao
200,00:06,feliz
200,00:06,mao levantada
201,00:06,feliz
201,00:06,mao levantada
202,00:06,feliz
202,00:06,mao levantada
203,00:06,feliz
203,00:06,mao levantada
204,00:06,feliz
204,00:06,mao levantada
205,00:06,feliz
205,00:06,mao levantada
206,00:06,feliz
206,00:06,mao levantada
207,00:06,feliz
207,00:06,mao levantada
208,00:06,feliz
208,00:06,mao levantada
209,00:06,feliz
209,00:06,mao levantada
210,00:07,feliz
210,00:07,mao levantada
211,00:07,feliz
211,00:07,mao levantada
212,00:07,feliz
212,00:07,mao levantada
213,00:07,feliz
213,00:07,mao levantada
213,00:07,mao no rosto
214,00:07,feliz
214,00:07,mao levantada
215,00:07,feliz
215,00:07,mao levantada
216,00:07,feliz
216,00:07,mao levantada
217,00:07,feliz
217,00:07,mao levantada
217,00:07,mao no rosto
218,00:07,feliz
218,00:07,mao levantada
218,00:07,mao no rosto
219,00:07,feliz
219,00:07,mao no rosto
220,00:07,feliz
220,00:07,mao no rosto
221,00:07,feliz
222,00:07,feliz
223,00:07,feliz
224,00:07,feliz
225,00:07,feliz
226,00:07,feliz
227,00:07,feliz
228,00:07,feliz
229,00:07,feliz
230,00:07,feliz
231,00:07,feliz
232,00:07,feliz
233,00:07,feliz
234,00:07,feliz
235,00:07,feliz
236,00:07,feliz
237,00:07,feliz
238,00:07,feliz
239,00:07,feliz
240,00:08,feliz
241,00:08,feliz
242,00:08,feliz
243,00:08,feliz
244,00:08,feliz
245,00:08,feliz
246,00:08,feliz
247,00:08,feliz
248,00:08,feliz
249,00:08,feliz
250,00:08,neutro
251,00:08,neutro
252,00:08,medo
253,00:08,neutro
254,00:08,neutro
255,00:08,triste
256,00:08,feliz
257,00:08,feliz
258,00:08,feliz
259,00:08,feliz
260,00:08,feliz
261,00:08,feliz
262,00:08,feliz
263,00:08,feliz
264,00:08,feliz
265,00:08,feliz
266,00:08,feliz
267,00:08,feliz
268,00:08,feliz
269,00:08,feliz
270,00:09,feliz
271,00:09,feliz
272,00:09,feliz
273,00:09,feliz
274,00:09,feliz
275,00:09,feliz
276,00:09,feliz
277,00:09,feliz
278,00:09,feliz
279,00:09,feliz
280,00:09,feliz
281,00:09,feliz
282,00:09,feliz
283,00:09,feliz
284,00:09,feliz
285,00:09,feliz
286,00:09,feliz
287,00:09,feliz
288,00:09,feliz
289,00:09,feliz
290,00:09,feliz
291,00:09,feliz
292,00:09,feliz
293,00:09,feliz
294,00:09,feliz
295,00:09,feliz
296,00:09,feliz
297,00:09,feliz
298,00:09,feliz
299,00:09,feliz
300,00:10,feliz
301,00:10,feliz
302,00:10,feliz
303,00:10,feliz
304,00:10,feliz
305,00:10,feliz
306,00:10,feliz
307,00:10,feliz
308,00:10,feliz
309,00:10,feliz
310,00:10,feliz
311,00:10,feliz
312,00:10,feliz
313,00:10,feliz
314,00:10,feliz
315,00:10,feliz
316,00:10,feliz
317,00:10,feliz
318,00:10,feliz
319,00:10,feliz
320,00:10,feliz
321,00:10,feliz
322,00:10,feliz
323,00:10,feliz
324,00:10,feliz
325,00:10,feliz
326,00:10,feliz
327,00:10,feliz
328,00:10,feliz
329,00:10,feliz
330,00:11,feliz
331,00:11,feliz
332,00:11,feliz
333,00:11,feliz
334,00:11,feliz
335,00:11,feliz
336,00:11,feliz
337,00:11,feliz
338,00:11,feliz
339,00:11,feliz
340,00:11,feliz
341,00:11,feliz
342,00:11,feliz
343,00:11,feliz
344,00:11,feliz
345,00:11,feliz
346,00:11,feliz
347,00:11,feliz
348,00:11,feliz
349,00:11,feliz
350,00:11,feliz
351,00:11,feliz
352,00:11,feliz
353,00:11,feliz
354,00:11,feliz
355,00:11,feliz
356,00:11,feliz
357,00:11,feliz
358,00:11,feliz
359,00:11,feliz
360,00:12,feliz
403,00:13,mao no rosto
548,00:18,mao no rosto
548,00:18,mao no rosto
551,00:18,mao no rosto
552,00:18,mao no rosto
553,00:18,mao no rosto
553,00:18,mao no rosto
554,00:18,mao no rosto
554,00:18,mao no rosto
555,00:18,bravo
555,00:18,mao no rosto
555,00:18,mao no rosto
556,00:18,surpreso
556,00:18,mao no rosto
556,00:18,mao no rosto
557,00:18,surpreso
558,00:18,surpreso
559,00:18,bravo
560,00:18,bravo
561,00:18,bravo
562,00:18,medo
563,00:18,medo
564,00:18,triste
565,00:18,triste
566,00:18,nojo
567,00:18,triste
568,00:18,neutro
569,00:18,neutro
570,00:19,neutro
571,00:19,feliz
572,00:19,bravo
573,00:19,bravo
574,00:19,bravo
575,00:19,bravo
576,00:19,medo
577,00:19,neutro
578,00:19,neutro
578,00:19,mao levantada
579,00:19,neutro
579,00:19,mao levantada
580,00:19,feliz
580,00:19,mao levantada
581,00:19,neutro
582,00:19,feliz
583,00:19,triste
